Epoch [101/150]; Time: 149.32 seconds; Loss: 0.0008
Epoch [102/150]; Time: 146.65 seconds; Loss: 0.0006
Epoch [103/150]; Time: 145.46 seconds; Loss: 0.0007
Epoch [104/150]; Time: 145.74 seconds; Loss: 0.0008
Epoch [105/150]; Time: 152.30 seconds; Loss: 0.0008
Epoch [106/150]; Time: 156.23 seconds; Loss: 0.0007
Epoch [107/150]; Time: 152.25 seconds; Loss: 0.0009
Epoch [108/150]; Time: 154.36 seconds; Loss: 0.0007
Epoch [109/150]; Time: 145.35 seconds; Loss: 0.0008
Epoch [110/150]; Time: 159.76 seconds; Loss: 0.0006
Epoch [111/150]; Time: 155.25 seconds; Loss: 0.0009
Epoch [112/150]; Time: 156.67 seconds; Loss: 0.0008
Epoch [113/150]; Time: 148.10 seconds; Loss: 0.0007
Epoch [114/150]; Time: 157.45 seconds; Loss: 0.0007
Epoch [115/150]; Time: 154.82 seconds; Loss: 0.0006
Epoch [116/150]; Time: 148.33 seconds; Loss: 0.0007
Epoch [117/150]; Time: 147.06 seconds; Loss: 0.0007
Epoch [118/150]; Time: 158.71 seconds; Loss: 0.0006
Epoch [119/150]; Time: 160.20 seconds; Loss: 0.0007
Epoch [120/150]; Time: 154.97 seconds; Loss: 0.0006
Epoch [121/150]; Time: 151.60 seconds; Loss: 0.0007
Epoch [122/150]; Time: 150.71 seconds; Loss: 0.0007
Epoch [123/150]; Time: 151.02 seconds; Loss: 0.0011
Epoch [124/150]; Time: 154.03 seconds; Loss: 0.0006
Epoch [125/150]; Time: 159.46 seconds; Loss: 0.0008
Epoch [126/150]; Time: 156.23 seconds; Loss: 0.0006
Epoch [127/150]; Time: 151.28 seconds; Loss: 0.0008
Epoch [128/150]; Time: 154.51 seconds; Loss: 0.0007
Epoch [129/150]; Time: 153.98 seconds; Loss: 0.0033
Epoch [130/150]; Time: 150.99 seconds; Loss: 0.0035
Epoch [131/150]; Time: 156.78 seconds; Loss: 0.0024
Epoch [132/150]; Time: 149.54 seconds; Loss: 0.0022
Epoch [133/150]; Time: 159.84 seconds; Loss: 0.0023
Epoch [134/150]; Time: 157.64 seconds; Loss: 0.0015
Epoch [135/150]; Time: 149.94 seconds; Loss: 0.0019
Epoch [136/150]; Time: 151.58 seconds; Loss: 0.0019
Epoch [137/150]; Time: 157.10 seconds; Loss: 0.0018
Epoch [138/150]; Time: 150.35 seconds; Loss: 0.0016
Epoch [139/150]; Time: 153.96 seconds; Loss: 0.0016
Epoch [140/150]; Time: 161.29 seconds; Loss: 0.0012
Epoch [141/150]; Time: 153.63 seconds; Loss: 0.0013
Epoch [142/150]; Time: 161.84 seconds; Loss: 0.0014
Epoch [143/150]; Time: 154.82 seconds; Loss: 0.0014
Epoch [144/150]; Time: 148.98 seconds; Loss: 0.0011
Epoch [145/150]; Time: 151.68 seconds; Loss: 0.0016
Epoch [146/150]; Time: 155.02 seconds; Loss: 0.0010
Epoch [147/150]; Time: 158.27 seconds; Loss: 0.0010
Epoch [148/150]; Time: 155.35 seconds; Loss: 0.0011
Epoch [149/150]; Time: 157.79 seconds; Loss: 0.0012
Epoch [150/150]; Time: 154.11 seconds; Loss: 0.0011
